anger,disgust,fear,joy,sadness,surprise,neutral,hueSin,hueCos,saturation,log_light_energy,grain,fov
0.0,0.0,0.0,0.0,0.21,0.19,0.77,0.028622316010931292,0.33325744683164515,0.2421801890911935,0.758492745183663,0.07231492882212003,0.664375558900936
0.0,0.0,0.0,0.0,0.07,0.98,0.0,0.09134135154903306,0.21190607599911276,0.932880550554336,0.835985232751718,0.17523058025957108,0.8704643510019381
0.0,0.0,0.0,0.0,0.1,0.78,0.9,0.026793036069470255,0.33852192319806906,0.16602855410206624,0.8091878798336356,0.058161164004666074,0.8356188179650345
0.0,0.053763440860215055,0.87,0.0,0.75,0.0,0.75,0.47398831943058817,0.0006770659443380844,0.32306220380521583,0.1857458760771022,0.5356768023866767,0.019207981020002998
0.0,0.02150537634408602,0.83,0.0,0.19,0.0,0.1,0.5150790227106289,0.00022742864969838017,0.5718828709761855,0.21921593184551355,0.988384816581771,0.05708488044218986
0.0,0.12903225806451613,0.79,0.0,0.17,0.0,0.08,0.7565741513897742,0.07085002057716788,0.6073632355992935,0.12854512800627466,0.6622071451243189,0.0046880501227816755
0.0,0.0,0.82,0.0,0.9,0.0,0.94,0.28377129319715044,0.04917281985846578,0.15541034885819607,0.3254838485500166,0.6026331126981342,0.7235484394116102
0.0,0.0,0.0,0.0,0.18,0.21,0.93,0.18297609472230064,0.11335307646060816,0.1340454251572958,0.8102478886759893,0.09463501276289256,0.6946677407287289
0.0,0.01075268817204301,0.94,0.0,0.8,0.0,0.74,0.22896285202426375,0.07983471773934148,0.26177749101994136,0.18602359094928225,0.5073530265373836,0.5730678538869468
0.0,0.0,0.81,0.0,0.83,0.0,0.13,0.3765700309755078,0.015474414765728917,0.5530645820526298,0.18375823998608568,0.9044351749251748,0.8811219874966573
0.0,0.06451612903225806,0.98,0.0,0.88,0.0,0.16,0.1328564987955913,0.16058042259856553,0.4993394948625209,0.17393574604613873,0.3407260834594912,0.5778287000521406
0.06,0.6559139784946236,0.07,0.13,0.02,0.0,0.01,0.7691235475919533,0.9213935406855706,0.8461914796387959,0.5009282434792832,0.25988998262862817,0.13457792911509983
0.0,0.0,0.83,0.0,0.75,0.0,0.18,0.36176172586527927,0.01948966757804904,0.4451322719400453,0.12862566345405718,0.9031086369874642,0.05430686485655362
0.0,0.0,0.0,0.0,0.1,0.21,1.0,0.026189492376475387,0.34030152516214207,0.10505412073732012,0.8879203089768442,0.06921485182941274,0.6772883235568776
0.0,0.0,0.0,0.0,0.01,0.85,0.01,0.004968200093985797,0.42968985079085725,0.8867343740420366,0.8541582995160585,0.0026874214134036956,0.9494844100508817
0.0,0.0,0.93,0.0,0.7,0.0,0.82,0.37449796603613617,0.016006984068020702,0.26726439985348754,0.11004743125480873,0.9762358798230564,0.9658175534864348
0.82,0.0,0.05,0.0,0.0,0.0,0.0,0.5205538063653197,0.9995773624213741,0.9783997661825539,0.5794487091129152,0.86179147623161,0.10939553474152196
0.0,0.04301075268817204,0.0,0.86,0.0,0.17,0.0,0.7087445880546982,0.9543409479211338,0.9976322527646672,0.8278282465553227,0.17872984010420548,0.35720118431283426
0.0,0.0,0.0,0.0,0.16,0.81,0.91,0.22359783874728145,0.08334445250923855,0.18202782282891883,0.8283250589324435,0.058326282242514585,0.8521353240104035
0.85,0.02150537634408602,0.02,0.0,0.0,0.0,0.0,0.6229391112170359,0.9846503635954122,0.917471542104967,0.7216725835660894,0.6759800364527769,0.033082458125906745
0.86,0.0,0.04,0.0,0.0,0.0,0.0,0.46238208538356546,0.9985828842829552,0.9048776721438087,0.6477326331184247,0.8406880366706615,0.023543513399615107
0.96,0.0,0.02,0.0,0.0,0.0,0.0,0.4780397237358244,0.9995175134731524,0.9374310110399883,0.6985922038437344,0.8511289504700856,0.04396915404020528
0.1,0.8064516129032258,0.1,0.04,0.07,0.0,0.01,0.6491220136078993,0.9772448271668595,0.8386624755589756,0.4090425291912045,0.291610733994209,0.1477738663636193
0.0,0.1935483870967742,0.93,0.0,0.84,0.0,0.11,0.6874290758980316,0.0364589106583863,0.5436894182031158,0.2027805552064363,0.5436364108083641,0.04656375892437661
0.0,0.0,0.01,0.0,0.18,0.23,0.84,0.25424672372007573,0.06456306174408766,0.1971411478114044,0.7412879512105578,0.04939585559779082,0.8174684835031796
0.0,0.04301075268817204,0.88,0.0,0.86,0.0,0.84,0.3243892571153255,0.031853797427029484,0.23470615359353464,0.3069893831031688,0.4396661903648877,0.5530583276211775
0.0,0.0,0.0,0.0,0.06,0.81,0.02,0.08982299983557612,0.21407198714341713,0.8374886515049692,0.9295874760631598,0.1208184891375445,0.7660073858015325
